id,crashYear,crashSeverity,fatalCount,seriousInjuryCount,minorInjuryCount,crashLocation1,crashLocation2,region,holiday,light,speedLimit,advisorySpeed,latitude,longitude,bicycle,bus,carStationWagon,moped,motorcycle,otherVehicleType,pedestrian,schoolBus,suv,taxi,train,truck,vanOrUtility,vehicle
472649,2015,Minor Crash,0,0,1,PAKURANGA ROAD,BUCKLANDS BEACH ROAD,Auckland Region,,Overcast,60,,174.908497,-36.898433,0,0,1,0,0,0,1,0,0,0,,0,0,
203154,2005,Minor Crash,0,0,1,WHITNEY ST,MARGATE ROAD,Auckland Region,,Dark,50,,174.708626,-36.913094,0,0,2,0,0,0,,0,0,0,0,0,0,0
428575,2015,Minor Crash,0,0,1,SH 3,RICHMOND ST,Taranaki Region,,Bright sun,50,,174.206745,-39.155931,0,0,1,0,0,0,1,0,0,0,,0,0,
57953,2011,Serious Crash,0,1,0,HENRY ST,ROBERTON ROAD,Auckland Region,,Overcast,50,,174.699637,-36.890951,1,0,0,0,0,0,,0,0,0,,0,0,
174472,2004,Minor Crash,0,0,2,DOMINION ROAD,MOUNT ALBERT ROAD,Auckland Region,,Bright sun,50,,174.741789,-36.904455,0,0,1,0,0,0,1,0,0,0,,0,0,
505632,2000,Minor Crash,0,0,1,WOODHAM ROAD,GLOUCESTER ST,Canterbury Region,,Overcast,50,,172.672543,-43.525199,0,0,2,0,0,0,,0,0,0,,0,0,
361873,2013,Minor Crash,0,0,2,KINGSEAT ROAD,MCKENZIE ROAD,Auckland Region,,Overcast,100,,174.795861,-37.135884,0,0,1,0,0,0,,0,0,0,0,0,1,0
395139,2001,Minor Crash,0,0,1,SH 1N,JOHNSONVILLE OFF NBD,Wellington Region,,Bright sun,100,,174.809344,-41.229468,0,0,1,0,0,0,,0,0,0,0,0,0,0
121474,2016,Minor Crash,0,0,1,ORIENTAL PARADE,FREYBERG POOL CPK ENT,Wellington Region,,Bright sun,40,,174.789921,-41.291120,0,0,2,0,0,0,,0,0,0,,0,0,
651771,2014,Serious Crash,0,1,0,SEAFORTH ROAD,DOLPHIN AVENUE,Bay of Plenty Region,,Bright sun,50,,175.961403,-37.433313,0,0,1,0,0,0,1,0,0,0,,0,0,
181503,2010,Minor Crash,0,0,1,HOLLAND ROAD,SH 1B,Waikato Region,,Dark,100,,175.389983,-37.731265,0,0,1,0,0,0,,0,0,0,0,0,0,0
558422,2003,Minor Crash,0,0,1,DRURY OFF SBD,SH 22,Auckland Region,,Overcast,100,,174.946925,-37.106477,0,0,1,0,0,0,,0,0,0,,1,1,
130303,2007,Serious Crash,0,1,0,SH 2,AVERY ROAD,Manawatu-Wanganui Region,,Bright sun,100,,175.816370,-40.482257,0,0,1,0,0,0,,0,0,0,0,0,0,0
297002,2016,Minor Crash,0,0,1,OWAKA HIGHWAY,DANS PEAK ROAD,Otago Region,,Overcast,100,,169.694192,-46.418455,0,0,0,0,0,0,,0,1,0,0,0,0,0
556170,2004,Serious Crash,0,2,1,ESPLANADE,MANGARINO ROAD,Waikato Region,,Dark,50,,175.163299,-38.328867,0,0,1,0,0,0,,0,0,0,0,0,0,0
653914,2017,Minor Crash,0,0,1,ROTOWARO ROAD,WAIKOKOWAI ROAD,Waikato Region,Easter,Overcast,100,,175.096588,-37.585398,0,0,1,0,0,0,,0,0,0,0,0,0,0
611521,2005,Minor Crash,0,0,1,SH 2,TOPAZ ST,Wellington Region,,Dark,80,,175.115056,-41.096238,0,0,1,0,0,0,,0,0,0,0,0,0,0
49576,2004,Minor Crash,0,0,1,SH 6,BATTYS ROAD,Marlborough Region,,Overcast,50,,173.932663,-41.509250,0,0,2,0,0,0,,0,0,0,0,0,0,0
286111,2007,Serious Crash,0,1,0,SH 12,MITCHELL ROAD,Northland Region,,Bright sun,100,,173.427580,-35.557621,0,0,0,0,0,0,,0,1,0,0,0,0,0
